,track,groundspeed,altitude,timedelta,latitude,longitude,flight_id,callsign,icao24,timestamp
0,201.94769092266534,209.1148038561711,14964.690427761523,0.027011632919311523,48.09785931673507,8.685354152427571,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:05:40.027011633+00:00
14,173.79678081329166,222.1040094070428,14234.324522316456,60.33204772323371,48.04029968881418,8.674541466072233,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:06:40.332047723+00:00
58,166.7310052689002,237.03807468491473,10701.919135451317,249.81601738929749,47.84474807913624,8.749747845224029,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:09:49.816017389+00:00
68,203.87912099083158,228.8026943727796,9992.679484188555,293.2813196182251,47.79939148932567,8.742304699986102,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:10:33.281319618+00:00
76,230.20843959144023,216.44581276069073,9777.16531585902,327.4480938911438,47.77203326544854,8.71125382058433,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:11:07.448093891+00:00
103,240.48299086982908,224.57892746299825,8571.148201450706,444.9733943939209,47.711693712886145,8.571388736837061,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:13:04.973394394+00:00
120,241.90484558527962,238.30381961378,6963.442638516426,518.7465651854873,47.69934067548283,8.456916277964204,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:14:18.746565185+00:00
142,191.8582838754297,207.44401204785095,5226.993872411549,613.4499415606261,47.636812775617095,8.356363706529605,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:15:53.449941561+00:00
153,142.1026702907783,206.16294473780096,4675.636446475983,660.6753997802736,47.59688403808648,8.382720728782775,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:16:40.675399780+00:00
199,137.53279100489954,145.6756834496931,2220.104373991489,858.7678139209747,47.483734130859375,8.533836364746094,TRAJ_0,TRAJ_0,TRAJ_0,2021-09-30 14:19:58.767813921+00:00
200,169.81819510769608,329.1288511948067,13642.691493779419,0.03732308745384216,48.07282914686765,8.429008546347623,TRAJ_1,TRAJ_1,TRAJ_1,2021-09-30 14:05:40.037323087+00:00
265,185.94061135181593,272.0440330072209,9672.172674536707,213.09471130371094,47.791713906925196,8.543297030023322,TRAJ_1,TRAJ_1,TRAJ_1,2021-09-30 14:09:13.094711304+00:00
278,220.12597884121632,263.4843769007657,8880.67798372358,256.2695721387863,47.74335577665768,8.513323509262008,TRAJ_1,TRAJ_1,TRAJ_1,2021-09-30 14:09:56.269572139+00:00
294,232.79046329645877,268.74288045767577,7224.7490379959345,310.5090378522873,47.72021428953406,8.424613029657818,TRAJ_1,TRAJ_1,TRAJ_1,2021-09-30 14:10:50.509037851+00:00
321,181.56219987136552,212.65855775176095,5531.367499381304,396.60098838806147,47.64042143931015,8.347702011700495,TRAJ_1,TRAJ_1,TRAJ_1,2021-09-30 14:12:16.600988388+00:00
399,137.58664256209525,144.60129987469296,1626.4596223831174,653.3859519958496,47.483516693115234,8.534123420715332,TRAJ_1,TRAJ_1,TRAJ_1,2021-09-30 14:16:33.385951996+00:00
2000,192.47741473470887,320.23325769131264,13176.210901886223,0.013395577669143677,48.108067891707556,8.516347898893368,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:05:40.013395578+00:00
2019,182.03141859715848,284.8907278961636,13062.594494223595,74.02869686484337,48.00726777669646,8.49217544342885,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:06:54.028696865+00:00
2054,177.79969641401848,277.4497260583891,10758.82023498416,210.43190419673917,47.835748310798465,8.531603311143973,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:09:10.431904197+00:00
2076,194.04597255342367,257.1555915730634,8810.452602803707,295.92250883579254,47.73193996085114,8.507796151863534,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:10:35.922508836+00:00
2083,259.48894985729476,244.78815207496046,8282.33821541071,323.4301605820656,47.71255859119454,8.474746380887558,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:11:03.430160582+00:00
2100,246.83509355925707,215.5342642509559,6897.65559695661,388.9409646689892,47.719940014204106,8.374029842535789,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:12:08.940964669+00:00
2115,183.181776322659,178.14480023321664,5873.082678951324,447.9094173163176,47.67888414210415,8.331762135826315,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:13:07.909417316+00:00
2141,145.8835290981756,184.83378499064514,4231.281786412001,548.7394897341728,47.60436698499359,8.38361420324659,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:14:48.739489734+00:00
2199,137.02595041896836,130.3679386509041,1426.7384454607961,774.3064999580383,47.48384094238281,8.533700942993164,TRAJ_10,TRAJ_10,TRAJ_10,2021-09-30 14:18:34.306499958+00:00
2200,184.11417393486843,312.1524994840154,15145.374953758435,0.03279465436935425,48.191879896344375,8.631031271115763,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:05:40.032794654+00:00
2226,183.60118541214607,286.31612391120177,13501.997459586708,104.65729066729546,48.05017090058707,8.639414954339676,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:07:24.657290667+00:00
2260,199.11190854081246,276.6743447133122,10488.979805260897,245.49098885059357,47.86792862554014,8.59533577580686,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:09:45.490988851+00:00
2281,215.24364998597338,231.51910533613312,8326.410150527954,326.4767995625734,47.783186760939515,8.538932729978509,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:11:06.476799563+00:00
2294,238.4867406328045,220.8126806082517,7096.464212983847,380.92657777667046,47.760600300807184,8.46451845028328,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:12:00.926577777+00:00
2323,195.6174040927386,199.29851561311958,6124.493747856467,495.3884334564209,47.69316302803994,8.34167708829235,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:13:55.388433456+00:00
2345,149.9789685950919,192.66738384242709,4959.9184782244265,585.6267435252666,47.617139192474816,8.369203167863029,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:15:25.626743525+00:00
2399,137.66242923415754,148.0797653680698,1491.0817205905912,802.3502025604248,47.483943939208984,8.533571243286133,TRAJ_11,TRAJ_11,TRAJ_11,2021-09-30 14:19:02.350202560+00:00
2400,213.70059243796067,356.7536771582126,14683.57758335769,0.022225916385650635,48.08254161677212,8.643192069179149,TRAJ_12,TRAJ_12,TRAJ_12,2021-09-30 14:05:40.022225916+00:00
2414,205.76180409662473,329.7222045818828,13727.345418184996,44.177766561508186,48.02400020184873,8.5879250182,TRAJ_12,TRAJ_12,TRAJ_12,2021-09-30 14:06:24.177766562+00:00
2449,200.74694227423808,279.89984829360964,12130.297039449215,154.84292751550677,47.883681830082054,8.507988927648258,TRAJ_12,TRAJ_12,TRAJ_12,2021-09-30 14:08:14.842927516+00:00
2470,203.11155861958028,264.2313164372709,11161.602921038866,220.73470425605768,47.802557486103325,8.490444089033204,TRAJ_12,TRAJ_12,TRAJ_12,2021-09-30 14:09:20.734704256+00:00
